id,bbox,sick
Train_1576.jpg,"[64, 0, 64, 43]",1
Train_95.jpg,"[128, 0, 64, 43]",1
Train_1468.jpg,"[192, 0, 64, 43]",1
Train_767.jpg,"[320, 0, 64, 43]",1
Train_418.jpg,"[384, 0, 64, 43]",1
Train_1216.jpg,"[448, 0, 64, 43]",1
Train_486.jpg,"[512, 0, 64, 43]",1
Train_1188.jpg,"[576, 0, 64, 43]",1
Train_1376.jpg,"[640, 0, 64, 43]",1
Train_1609.jpg,"[704, 0, 64, 43]",1
Train_1512.jpg,"[832, 0, 64, 43]",1
Train_1277.jpg,"[896, 0, 64, 43]",0
Train_1236.jpg,"[960, 0, 64, 43]",1
Train_511.jpg,"[1024, 0, 64, 43]",1
Train_1723.jpg,"[1088, 0, 64, 43]",0
Train_1708.jpg,"[1152, 0, 64, 43]",1
Train_1100.jpg,"[1280, 0, 64, 43]",1
Train_484.jpg,"[1344, 0, 64, 43]",1
Train_995.jpg,"[1536, 0, 64, 43]",1
Train_1536.jpg,"[1600, 0, 64, 43]",1
Train_621.jpg,"[1664, 0, 64, 43]",0
Train_217.jpg,"[1728, 0, 64, 43]",1
Train_245.jpg,"[1792, 0, 28, 43]",1
Train_768.jpg,"[192, 43, 64, 43]",0
Train_427.jpg,"[256, 43, 64, 43]",0
Train_1212.jpg,"[320, 43, 64, 43]",1
Train_573.jpg,"[384, 43, 64, 43]",0
Train_168.jpg,"[448, 43, 64, 43]",1
Train_247.jpg,"[512, 43, 64, 43]",0
Train_412.jpg,"[576, 43, 64, 43]",0
Train_1554.jpg,"[640, 43, 64, 43]",1
Train_1390.jpg,"[704, 43, 64, 43]",1
Train_993.jpg,"[768, 43, 64, 43]",1
Train_1234.jpg,"[832, 43, 64, 43]",1
Train_1.jpg,"[896, 43, 64, 43]",1
Train_1074.jpg,"[960, 43, 64, 43]",1
Train_883.jpg,"[1024, 43, 64, 43]",1
Train_1672.jpg,"[1088, 43, 64, 43]",0
Train_969.jpg,"[1280, 43, 64, 43]",0
Train_1654.jpg,"[1344, 43, 64, 43]",0
Train_1164.jpg,"[1408, 43, 64, 43]",0
Train_1485.jpg,"[1472, 43, 64, 43]",1
Train_702.jpg,"[1536, 43, 64, 43]",1
Train_966.jpg,"[1664, 43, 64, 43]",0
Train_1587.jpg,"[1728, 43, 64, 43]",0
Train_1711.jpg,"[0, 86, 64, 43]",1
Train_1050.jpg,"[64, 86, 64, 43]",1
Train_1780.jpg,"[128, 86, 64, 43]",1
Train_1369.jpg,"[192, 86, 64, 43]",1
Train_1815.jpg,"[256, 86, 64, 43]",1
Train_943.jpg,"[320, 86, 64, 43]",1
Train_368.jpg,"[384, 86, 64, 43]",1
Train_338.jpg,"[512, 86, 64, 43]",1
Train_157.jpg,"[576, 86, 64, 43]",1
Train_929.jpg,"[768, 86, 64, 43]",0
Train_26.jpg,"[832, 86, 64, 43]",1
Train_1549.jpg,"[896, 86, 64, 43]",0
Train_1013.jpg,"[960, 86, 64, 43]",1
Train_629.jpg,"[1024, 86, 64, 43]",1
Train_62.jpg,"[1088, 86, 64, 43]",1
Train_1781.jpg,"[1152, 86, 64, 43]",0
Train_1542.jpg,"[1216, 86, 64, 43]",1
Train_1801.jpg,"[1280, 86, 64, 43]",1
Train_1258.jpg,"[1408, 86, 64, 43]",1
Train_1334.jpg,"[1536, 86, 64, 43]",1
Train_228.jpg,"[1600, 86, 64, 43]",1
Train_1631.jpg,"[1664, 86, 64, 43]",0
Train_174.jpg,"[1792, 86, 64, 43]",0
Train_22.jpg,"[0, 129, 64, 43]",1
Train_36.jpg,"[64, 129, 64, 43]",1
Train_162.jpg,"[128, 129, 64, 43]",0
Train_25.jpg,"[192, 129, 64, 43]",1
Train_711.jpg,"[256, 129, 64, 43]",0
Train_1433.jpg,"[384, 129, 64, 43]",1
Train_31.jpg,"[512, 129, 64, 43]",1
Train_1228.jpg,"[576, 129, 64, 43]",1
Train_1680.jpg,"[640, 129, 64, 43]",1
Train_1526.jpg,"[704, 129, 64, 43]",1
Train_936.jpg,"[768, 129, 64, 43]",1
Train_1413.jpg,"[832, 129, 64, 43]",1
Train_1281.jpg,"[960, 129, 64, 43]",1
Train_1070.jpg,"[1088, 129, 64, 43]",1
Train_1302.jpg,"[1152, 129, 64, 43]",1
Train_1579.jpg,"[1216, 129, 64, 43]",1
Train_1183.jpg,"[1408, 129, 64, 43]",1
Train_111.jpg,"[1472, 129, 64, 43]",0
Train_1138.jpg,"[1536, 129, 64, 43]",1
Train_1721.jpg,"[1600, 129, 64, 43]",1
Train_298.jpg,"[1664, 129, 64, 43]",0
Train_931.jpg,"[1728, 129, 64, 43]",1
Train_1733.jpg,"[1792, 129, 64, 43]",0
Train_886.jpg,"[64, 172, 64, 43]",1
Train_512.jpg,"[128, 172, 64, 43]",1
Train_893.jpg,"[192, 172, 64, 43]",0
Train_102.jpg,"[256, 172, 64, 43]",1
Train_1457.jpg,"[320, 172, 64, 43]",0
Train_1131.jpg,"[384, 172, 64, 43]",0
Train_1791.jpg,"[512, 172, 64, 43]",1
Train_1196.jpg,"[576, 172, 64, 43]",1
Train_965.jpg,"[640, 172, 64, 43]",1
Train_1184.jpg,"[704, 172, 64, 43]",1
Train_776.jpg,"[768, 172, 64, 43]",0
Train_1264.jpg,"[832, 172, 64, 43]",1
Train_478.jpg,"[896, 172, 64, 43]",0
Train_839.jpg,"[1024, 172, 64, 43]",0
Train_366.jpg,"[1088, 172, 64, 43]",0
Train_428.jpg,"[1152, 172, 64, 43]",1
Train_106.jpg,"[1216, 172, 64, 43]",1
Train_539.jpg,"[1280, 172, 64, 43]",1
Train_1751.jpg,"[1344, 172, 64, 43]",1
Train_1466.jpg,"[1408, 172, 64, 43]",0
Train_517.jpg,"[1472, 172, 64, 43]",1
Train_1310.jpg,"[1536, 172, 64, 43]",1
Train_862.jpg,"[1600, 172, 64, 43]",1
Train_1217.jpg,"[1664, 172, 64, 43]",1
Train_306.jpg,"[1728, 172, 64, 43]",1
Train_43.jpg,"[0, 215, 64, 43]",0
Train_237.jpg,"[128, 215, 64, 43]",1
Train_188.jpg,"[192, 215, 64, 43]",1
Train_138.jpg,"[256, 215, 64, 43]",1
Train_73.jpg,"[320, 215, 64, 43]",1
Train_1592.jpg,"[384, 215, 64, 43]",1
Train_1273.jpg,"[576, 215, 64, 43]",1
Train_751.jpg,"[640, 215, 64, 43]",1
Train_462.jpg,"[704, 215, 64, 43]",1
Train_758.jpg,"[768, 215, 64, 43]",1
Train_1725.jpg,"[832, 215, 64, 43]",1
Train_1546.jpg,"[896, 215, 64, 43]",0
Train_395.jpg,"[960, 215, 64, 43]",1
Train_110.jpg,"[1024, 215, 64, 43]",1
Train_391.jpg,"[1088, 215, 64, 43]",1
Train_881.jpg,"[1152, 215, 64, 43]",0
Train_857.jpg,"[1216, 215, 64, 43]",1
Train_178.jpg,"[1344, 215, 64, 43]",1
Train_543.jpg,"[1408, 215, 64, 43]",1
Train_356.jpg,"[1472, 215, 64, 43]",0
Train_1129.jpg,"[1536, 215, 64, 43]",1
Train_1109.jpg,"[1600, 215, 64, 43]",1
Train_336.jpg,"[1664, 215, 64, 43]",1
Train_436.jpg,"[1728, 215, 64, 43]",1
Train_113.jpg,"[1792, 215, 64, 43]",1
Train_769.jpg,"[0, 258, 64, 43]",0
Train_661.jpg,"[64, 258, 64, 43]",1
Train_1566.jpg,"[256, 258, 64, 43]",1
Train_719.jpg,"[320, 258, 64, 43]",1
Train_1402.jpg,"[384, 258, 64, 43]",1
Train_519.jpg,"[448, 258, 64, 43]",1
Train_1514.jpg,"[512, 258, 64, 43]",1
Train_150.jpg,"[576, 258, 64, 43]",1
Train_1580.jpg,"[640, 258, 64, 43]",1
Train_120.jpg,"[704, 258, 64, 43]",1
Train_268.jpg,"[832, 258, 64, 43]",1
Train_1197.jpg,"[960, 258, 64, 43]",1
Train_251.jpg,"[1088, 258, 64, 43]",1
Train_507.jpg,"[1152, 258, 64, 43]",1
Train_628.jpg,"[1216, 258, 64, 43]",1
Train_843.jpg,"[1344, 258, 64, 43]",1
Train_822.jpg,"[1408, 258, 64, 43]",1
Train_1610.jpg,"[1472, 258, 64, 43]",0
Train_1810.jpg,"[1536, 258, 64, 43]",0
Train_998.jpg,"[1664, 258, 64, 43]",1
Train_280.jpg,"[1728, 258, 64, 43]",1
Train_18.jpg,"[1792, 258, 64, 43]",0
Train_1753.jpg,"[0, 301, 64, 43]",1
Train_1035.jpg,"[64, 301, 64, 43]",1
Train_569.jpg,"[128, 301, 64, 43]",0
Train_718.jpg,"[192, 301, 64, 43]",1
Train_691.jpg,"[320, 301, 64, 43]",0
Train_354.jpg,"[384, 301, 64, 43]",1
Train_390.jpg,"[448, 301, 64, 43]",1
Train_1439.jpg,"[512, 301, 64, 43]",1
Train_659.jpg,"[576, 301, 64, 43]",1
Train_1768.jpg,"[640, 301, 64, 43]",1
Train_1287.jpg,"[704, 301, 64, 43]",0
Train_1015.jpg,"[768, 301, 64, 43]",1
Train_170.jpg,"[832, 301, 64, 43]",1
Train_1166.jpg,"[1088, 301, 64, 43]",1
Train_666.jpg,"[1152, 301, 64, 43]",1
Train_1519.jpg,"[1216, 301, 64, 43]",1
Train_1148.jpg,"[1280, 301, 64, 43]",1
Train_195.jpg,"[1344, 301, 64, 43]",0
Train_1427.jpg,"[1408, 301, 64, 43]",1
Train_652.jpg,"[1472, 301, 64, 43]",1
Train_563.jpg,"[1536, 301, 64, 43]",1
Train_762.jpg,"[1600, 301, 64, 43]",1
Train_949.jpg,"[1664, 301, 64, 43]",1
Train_602.jpg,"[1728, 301, 64, 43]",1
Train_1052.jpg,"[1792, 301, 64, 43]",1
Train_1648.jpg,"[128, 344, 64, 43]",1
Train_325.jpg,"[192, 344, 64, 43]",1
Train_1531.jpg,"[256, 344, 64, 43]",1
Train_547.jpg,"[320, 344, 64, 43]",0
Train_645.jpg,"[448, 344, 64, 43]",1
Train_1361.jpg,"[576, 344, 64, 43]",1
Train_1618.jpg,"[640, 344, 64, 43]",1
Train_635.jpg,"[704, 344, 64, 43]",0
Train_757.jpg,"[768, 344, 64, 43]",1
Train_937.jpg,"[832, 344, 64, 43]",0
Train_1574.jpg,"[896, 344, 64, 43]",1
Train_959.jpg,"[1024, 344, 64, 43]",0
Train_682.jpg,"[1088, 344, 64, 43]",1
Train_1779.jpg,"[1152, 344, 64, 43]",1
Train_1619.jpg,"[1216, 344, 64, 43]",1
Train_1392.jpg,"[1280, 344, 64, 43]",0
Train_1004.jpg,"[1408, 344, 64, 43]",0
Train_1403.jpg,"[1472, 344, 64, 43]",1
Train_439.jpg,"[1536, 344, 64, 43]",0
Train_1382.jpg,"[1600, 344, 64, 43]",1
Train_64.jpg,"[1664, 344, 64, 43]",1
Train_905.jpg,"[1728, 344, 64, 43]",1
Train_397.jpg,"[1792, 344, 64, 43]",0
Train_851.jpg,"[0, 387, 64, 43]",1
Train_80.jpg,"[64, 387, 64, 43]",1
Train_1784.jpg,"[128, 387, 64, 43]",1
Train_782.jpg,"[192, 387, 64, 43]",0
Train_6.jpg,"[256, 387, 64, 43]",1
Train_535.jpg,"[320, 387, 64, 43]",1
Train_868.jpg,"[384, 387, 64, 43]",1
Train_1409.jpg,"[448, 387, 64, 43]",1
Train_1558.jpg,"[512, 387, 64, 43]",1
Train_1134.jpg,"[704, 387, 64, 43]",1
Train_1085.jpg,"[896, 387, 64, 43]",0
Train_402.jpg,"[1024, 387, 64, 43]",1
Train_1722.jpg,"[1088, 387, 64, 43]",1
Train_323.jpg,"[1152, 387, 64, 43]",1
Train_1732.jpg,"[1216, 387, 64, 43]",1
Train_493.jpg,"[1280, 387, 64, 43]",1
Train_615.jpg,"[1344, 387, 64, 43]",1
Train_630.jpg,"[1472, 387, 64, 43]",0
Train_1090.jpg,"[1536, 387, 64, 43]",1
Train_1671.jpg,"[1600, 387, 64, 43]",1
Train_1584.jpg,"[1664, 387, 64, 43]",1
Train_1581.jpg,"[1792, 387, 64, 43]",1
Train_1355.jpg,"[0, 430, 64, 43]",0
Train_88.jpg,"[64, 430, 64, 43]",0
Train_34.jpg,"[128, 430, 64, 43]",1
Train_1349.jpg,"[192, 430, 64, 43]",0
Train_1348.jpg,"[256, 430, 64, 43]",0
Train_1224.jpg,"[320, 430, 64, 43]",0
Train_1232.jpg,"[384, 430, 64, 43]",1
Train_495.jpg,"[448, 430, 64, 43]",1
Train_219.jpg,"[512, 430, 64, 43]",0
Train_1662.jpg,"[704, 430, 64, 43]",1
Train_92.jpg,"[768, 430, 64, 43]",1
Train_74.jpg,"[896, 430, 64, 43]",1
Train_1612.jpg,"[1024, 430, 64, 43]",0
Train_534.jpg,"[1216, 430, 64, 43]",1
Train_10.jpg,"[1280, 430, 64, 43]",1
Train_657.jpg,"[1344, 430, 64, 43]",0
Train_975.jpg,"[1408, 430, 64, 43]",1
Train_304.jpg,"[1536, 430, 64, 43]",0
Train_910.jpg,"[1600, 430, 64, 43]",1
Train_1280.jpg,"[1664, 430, 64, 43]",1
Train_552.jpg,"[1728, 430, 64, 43]",1
Train_1243.jpg,"[1792, 430, 64, 43]",1
Train_1556.jpg,"[0, 473, 64, 43]",0
Train_270.jpg,"[128, 473, 64, 43]",1
Train_514.jpg,"[192, 473, 64, 43]",1
Train_1741.jpg,"[256, 473, 64, 43]",0
Train_417.jpg,"[320, 473, 64, 43]",0
Train_1637.jpg,"[384, 473, 64, 43]",1
Train_274.jpg,"[448, 473, 64, 43]",1
Train_1308.jpg,"[576, 473, 64, 43]",1
Train_1454.jpg,"[640, 473, 64, 43]",1
Train_248.jpg,"[704, 473, 64, 43]",0
Train_180.jpg,"[832, 473, 64, 43]",1
Train_104.jpg,"[896, 473, 64, 43]",1
Train_1372.jpg,"[960, 473, 64, 43]",0
Train_771.jpg,"[1024, 473, 64, 43]",1
Train_1548.jpg,"[1088, 473, 64, 43]",0
Train_1698.jpg,"[1152, 473, 64, 43]",0
Train_912.jpg,"[1280, 473, 64, 43]",1
Train_685.jpg,"[1408, 473, 64, 43]",0
Train_582.jpg,"[1536, 473, 64, 43]",1
Train_725.jpg,"[1600, 473, 64, 43]",0
Train_491.jpg,"[1664, 473, 64, 43]",0
Train_1200.jpg,"[1728, 473, 64, 43]",1
Train_444.jpg,"[0, 516, 64, 43]",0
Train_1034.jpg,"[64, 516, 64, 43]",0
Train_363.jpg,"[128, 516, 64, 43]",1
Train_1010.jpg,"[192, 516, 64, 43]",1
Train_638.jpg,"[256, 516, 64, 43]",1
Train_1803.jpg,"[320, 516, 64, 43]",0
Train_349.jpg,"[384, 516, 64, 43]",1
Train_732.jpg,"[448, 516, 64, 43]",1
Train_353.jpg,"[512, 516, 64, 43]",1
Train_1051.jpg,"[640, 516, 64, 43]",1
Train_1180.jpg,"[704, 516, 64, 43]",0
Train_1122.jpg,"[768, 516, 64, 43]",1
Train_299.jpg,"[832, 516, 64, 43]",1
Train_122.jpg,"[896, 516, 64, 43]",1
Train_94.jpg,"[960, 516, 64, 43]",0
Train_128.jpg,"[1024, 516, 64, 43]",1
Train_1513.jpg,"[1152, 516, 64, 43]",0
Train_777.jpg,"[1216, 516, 64, 43]",0
Train_1384.jpg,"[1280, 516, 64, 43]",1
Train_1119.jpg,"[1344, 516, 64, 43]",1
Train_946.jpg,"[1408, 516, 64, 43]",1
Train_1173.jpg,"[1472, 516, 64, 43]",1
Train_1503.jpg,"[1600, 516, 64, 43]",1
Train_1221.jpg,"[1664, 516, 64, 43]",1
Train_399.jpg,"[1728, 516, 64, 43]",1
Train_1818.jpg,"[1792, 516, 64, 43]",0
Train_1028.jpg,"[0, 559, 64, 43]",1
Train_262.jpg,"[64, 559, 64, 43]",1
Train_173.jpg,"[128, 559, 64, 43]",1
Train_171.jpg,"[192, 559, 64, 43]",1
Train_1507.jpg,"[256, 559, 64, 43]",1
Train_1426.jpg,"[320, 559, 64, 43]",0
